,Unnamed: 0,title,author,date,thumb,excerpt,article_url,website_name,display_date
7,7,XRP Displaces USDC in This Market Index: Details,Godfrey Benjamin,2023-10-13 13:30:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44073.jpg,"<p dir=""ltr"">The Hong Kong Virtual Assets Consortium (HKVAC) has recognized XRP’s latest growth maneuvers by <a rel=""nofollow"" target=""_blank"" href=""https://www.hkvac.io/downloads/HKVAC_Index_Rebalancing_Press_Release_EN.pdf"">adding</a> digital currency to the HKVAC Cryptocurrency Global Large Top5 Index. This inclusion is revered in part because it was achieved after XRP displaced USD Coin (USDC) from the 5th position in terms of market capitalization ranking. </p>",http://u.today//xrp-displaces-usdc-in-this-market-index-details,U Today,October 13 2023
6,6,"Solana (SOL) Developer Ready to Pay $400,000 If You Find This Piece of Code",Arman Shirinyan,2023-10-13 12:57:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44070.jpg,"<p dir=""ltr"">In a tantalizing challenge for coders and blockchain enthusiasts worldwide, a whopping reward of $400,000 has been announced for anyone who can locate the code that can purportedly ""turn off"" the <a href=""https://u.today/solana-sol-sees-massive-inflows-big-support-sign-from-institutions-weiss-crypto"">Solana</a> network. The buzz surrounding this challenge has its roots in a recent court hearing that sent shockwaves through the crypto community.</p>",http://u.today//solana-sol-developer-ready-to-pay-400000-if-you-find-this-piece-of-code,U Today,October 13 2023
5,5,Millions of XRP Tokens Moved to Major Exchanges - Is Sell-off Coming?,Yuri Molchan,2023-10-13 12:27:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44065.jpg,"<p lang=""en-GB"">Whale Alert tracker has noticed that within the last 24 hours, anonymous wallet addresses made two transfers to leading crypto trading venues Bitso and Bitstamp, carrying close to 64 <a href=""https://u.today/xrp-moved-to-new-destination-as-price-drops-details"">million XRP</a> in total.</p>",http://u.today//millions-of-xrp-tokens-moved-to-major-exchanges-is-sell-off-coming,U Today,October 13 2023
4,4,Paolo Ardoino Appointed as Tether CEO,Alex Dovbnya,2023-10-13 12:15:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44076.jpg,"<p>Tether, the flagship stablecoin issuer, <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/Tether_to/status/1712799255730024575"">announced</a> today the appointment of Paolo Ardoino as its new chief executive officer. </p>",http://u.today//paolo-ardoino-appointed-as-tether-ceo,U Today,October 13 2023
1,1,XRP and Bitcoin (BTC) Trading Unlocked for International Institutions by Coinbase and Talos,Gamza Khanzadaev,2023-10-13 11:54:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44068.jpg,"<p dir=""ltr"">In a significant stride for the institutional digital asset trading sector, <a rel=""nofollow"" target=""_blank"" href=""https://www.prnewswire.co.uk/news-releases/talos-integrates-with-coinbase-international-exchange-to-offer-institutional-clients-expanded-access-to-perpetual-futures-trading-301953976.html"">Talos</a> has seamlessly integrated with Coinbase International Exchange. This integration empowers clients in specific non-U.S. regions to directly participate in perpetual futures trading via the Talos platform. This development showcases the growing interest in popular cryptocurrencies such as <a href=""https://u.today/xrp-finally-reaches-this-substantial-support-level"">XRP</a> and <a href=""https://u.today/bitcoin-btc-options-worth-640-million-set-to-expire"">Bitcoin (BTC)</a> among institutional investors.</p>",http://u.today//xrp-and-bitcoin-btc-trading-unlocked-for-international-institutions-by-coinbase-and-talos,U Today,October 13 2023
18,18,XRP Transaction Volume up 8% as Bullish Optimism Returns,Godfrey Benjamin,2023-10-13 11:11:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44063.jpg,"<p dir=""ltr"">There is a mild bullish optimism returning to the market as XRP is wriggling out of a bearish trend, according to on-chain data. At the time of writing, XRP has <a rel=""nofollow"" target=""_blank"" href=""https://coinmarketcap.com/currencies/xrp/"">jumped</a> by 1.31% to $0.4825, a recovery that has ended the more than <a href=""https://u.today/xrp-shows-6-consecutive-days-of-falling-in-row-is-bounce-coming"">six consecutive days</a> of losses it has printed.</p>",http://u.today//xrp-transaction-volume-up-8-as-bullish-optimism-returns,U Today,October 13 2023
17,17,Ethereum (ETH) Has Something 'Scary' Happening in Background ,Arman Shirinyan,2023-10-13 10:39:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44060.jpg,"<p dir=""ltr""><a href=""https://u.today/ethereum-new-geth-version-fixes-critical-bug"">Ethereum's</a> recent developments in the futures <a rel=""dofollow"" href=""https://www.tradingview.com/"">market</a> are causing a stir. The charts are whispering some alarming messages, and those in the know are paying close attention.</p>",http://u.today//ethereum-eth-has-something-scary-happening-in-background,U Today,October 13 2023
16,16,Crypto Whale Longing Ethereum (ETH) in Fix as Liquidation Beckons,Tomiwabold Olajide,2023-10-13 10:18:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44064.jpg,"<p>A crypto whale with long <a href=""https://u.today/ethereum-eth-might-crash-if-it-loses-this-key-level"">Ethereum (ETH)</a> position seems to be facing a big dilemma, according to on-chain analytics firm <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/lookonchain/status/1712677906768683495"">Lookonchain</a>.</p>",http://u.today//crypto-whale-longing-ethereum-eth-in-fix-as-liquidation-beckons,U Today,October 13 2023
15,15,SHIB Team Issues Crucial Warning to Shiba Inu Army,Yuri Molchan,2023-10-13 09:26:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44058.jpg,"<p lang=""en-US"">The official marketing expert of the <a href=""https://u.today/shiba-inu-shib-on-verge-of-hitting-critical-level"">SHIB</a> developer team, who calls herself Lucie, has taken to the X social media platform to warn the Shiba Inu army against falling for this massive scam that is threatening them.</p>",http://u.today//shib-team-issues-crucial-warning-to-shiba-inu-army,U Today,October 13 2023
13,13,"Ripple CLO Slams Crypto Policy in US, Calls for Radical Reforms",Gamza Khanzadaev,2023-10-13 08:56:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44056.jpg,"<p dir=""ltr"">In a scathing critique of the current regulatory landscape in the United States, <a rel=""nofollow"" target=""_blank"" href=""https://x.com/s_alderoty/status/1712535465725932012?s=20"">Stuart Alderoty</a>, the chief legal officer at Ripple, has called for radical reforms in the country's approach to cryptocurrencies and other digital assets. Speaking on CNBC's Street Signs program, Alderoty expressed his frustration over the lack of a rational regulatory framework for the burgeoning crypto industry in the U.S.</p>",http://u.today//ripple-clo-slams-crypto-policy-in-us-calls-for-radical-reforms,U Today,October 13 2023
14,14,"Investors Risk Losing Massive Altcoin Position, Here's Why",Arman Shirinyan,2023-10-13 08:26:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44057.jpg,"<p dir=""ltr"">Recently, whales with substantial holdings in <a href=""https://u.today/bitcoin-btc-options-worth-640-million-set-to-expire"">WBTC</a>, ETH, LINK, UNI, and MKR fell under the risk of facing liquidation. Investors, who had utilized the Aave platform, began offloading WBTC to service their debt. With assets deposited on Aave amounting to $11 million and borrowing worth $8.45 million in stablecoins, the current health rate stands at a precarious 1.08. This puts the investor dangerously close to liquidation risk, potentially setting the stage for significant <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/lookonchain/status/1712677906768683495"">market</a> volatility.</p>",http://u.today//investors-risk-losing-massive-altcoin-position-heres-why,U Today,October 13 2023
12,12,Mastercard Trials CBDC-NFT Purchase Integration in Australia,Alex Dovbnya,2023-10-13 08:01:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44053.jpg,"<p>Mastercard has taken a progressive step in digital commerce by <a rel=""nofollow"" target=""_blank"" href=""https://www.mastercard.com/news/ap/en/newsroom/press-releases/en/2023/mastercard-demonstrates-interoperable-cbdc-for-trusted-web3-commerce-in-australia-and-beyond/"">successfully trialing</a> an integration of central bank digital currency (CBDC) with non-fungible token (NFT) purchases in Australia. </p>",http://u.today//mastercard-trials-cbdc-nft-purchase-integration-in-australia,U Today,October 13 2023
11,11,Cardano's Midnight Superpowers Uncovered: Details,Godfrey Benjamin,2023-10-13 07:55:00.000000,https://u.today/sites/default/files/styles/736x/public/2023-10/44055.jpg,"<p dir=""ltr"">Cardano (ADA) has been making the rounds lately with its newly introduced sidechain, the Midnight Protocol. Taking to its official account on X social media, the protocol, through Input Output Global (IOG) founder Charles Hoskinson, <a rel=""nofollow"" target=""_blank"" href=""https://twitter.com/MidnightNtwrk/status/1712559185840521649?s=20"">revealed</a> its core visions. These are based on three concepts, including freedom of Association, freedom of Commerce, and freedom of Expression, collectively called ACE.</p>",http://u.today//cardanos-midnight-superpowers-uncovered-details,U Today,October 13 2023
14,14,"Trader Says Altcoin That’s Exploded 370% in Four Months May Soon Witness Steep Correction, Updates Outlook on Bitcoin and Dogecoin",Mark Emem,2023-10-13 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/trader-four-months.jpg?w=350&h=250&crop=1,A crypto analyst says an under-the-radar altcoin could undergo steep correction after surging by triple-digit...,https://dailyhodl.com/2023/10/13/trader-says-altcoin-thats-exploded-370-in-four-months-may-soon-witness-steep-correction-updates-outlook-on-bitcoin-and-dogecoin/,The Daily Hodl,October 13 2023
13,13,"Wells Fargo Denies Wrongdoing After Freezing $204,000 in Customer’s Account, Facing Lawsuit for Damages",Daily Hodl Staff,2023-10-13 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/bank-freezing-dollars.jpg?w=350&h=250&crop=1,"Wells Fargo says it did nothing wrong when freezing $204,000 in a customer's account –...",https://dailyhodl.com/2023/10/13/wells-fargo-denies-wrongdoing-after-freezing-204000-in-customers-account-facing-lawsuit-for-damages/,The Daily Hodl,October 13 2023
12,12,"$81,000,000,000 in Bank Transfers Abruptly Halted As JPMorgan Chase and Big Banks Encounter Major Glitch in Japan: Report",Daily Hodl Staff,2023-10-13 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/10/bank-transfers-frozen-dollar.jpg?w=350&h=250&crop=1,Engineers are investigating a banking glitch that triggered a total shutdown of billions upon billions...,https://dailyhodl.com/2023/10/13/81000000000-in-bank-transfers-abruptly-halted-as-jpmorgan-chase-and-big-banks-encounter-major-glitch-in-japan-report/,The Daily Hodl,October 13 2023
15,15,Why X Is the Future of Crypto Growth,Tim Haldorsson,2023-10-03 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2022/12/twitter-coin.jpg?w=350&h=250&crop=1,"When we think of social media, certain names immediately come to mind – Facebook, Instagram...",https://dailyhodl.com/2023/10/03/why-x-is-the-future-of-crypto-growth/,The Daily Hodl,October 03 2023
16,16,How AI Can Bridge the Language Barrier in Crypto,Henning Diedrich,2023-09-26 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2023/06/Because-of-Artificial-Intelligence.jpg?w=350&h=250&crop=1,"Ever since Web 3.0 captured the attention of the public eye during 2021’s bull run,...",https://dailyhodl.com/2023/09/26/how-ai-can-bridge-the-language-barrier-in-crypto/,The Daily Hodl,September 26 2023
17,17,Wall Street Sees Blockchain Technology as a Game-Changer,Maria Carola,2023-09-21 00:00:00.000000,https://dailyhodl.com/wp-content/uploads/2022/10/star-holders-witness-january.jpg?w=350&h=250&crop=1,Wall Street is placing a lot of hope on blockchain technology to streamline asset trading....,https://dailyhodl.com/2023/09/21/wall-street-sees-blockchain-technology-as-a-game-changer/,The Daily Hodl,September 21 2023
